"phenotype","phenotype_sub","phenotype_sex","sgg_phesant_name","description","variable_type","SGG_available","phesant_processed","sgg_file","downloaded","category","define_category","v2_exists","v2_downloaded"
"134","134","both","NA","Number of self-reported cancers","ordinal","FALSE","NA","NA","NO","NA","TRUE","FALSE","NA"
"135","135","both","135","Number of self-reported non-cancer illnesses","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21653/bin1/out_bin1..tsv","NO","NA","TRUE","FALSE","NA"
"136","136","both","NA","Number of operations, self-reported","ordinal","FALSE","NA","NA","NO","NA","TRUE","FALSE","NA"
"137","137","both","137","Number of treatments/medications taken","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","disease_proxy","FALSE","FALSE","NA"
"398","398","both","398","Number of correct matches in round","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21071/bin1/out_bin1..tsv","NO","NA","TRUE","FALSE","NA"
"403","403","both","403","Number of times snap-button pressed","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21071/bin1/out_bin1..tsv","NO","NA","TRUE","FALSE","NA"
"709","709","both","709","Number in household","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21068/bin1/out_bin1..tsv","YES","lifestyle","FALSE","FALSE","NA"
"728","728","both","NA","Number of vehicles in household","ordinal","FALSE","NA","NA","NO","NA","TRUE","FALSE","NA"
"738","738","both","738","Average total household income before tax","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21068/bin1/out_bin1..tsv","YES","lifestyle","FALSE","FALSE","NA"
"777","777","both","777","Frequency of travelling from home to job workplace","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","lifestyle","FALSE","TRUE","TRUE"
"806","806","both","806","Job involves mainly walking or standing","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","lifestyle","FALSE","FALSE","NA"
"816","816","both","816","Job involves heavy manual or physical work","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","lifestyle","FALSE","FALSE","NA"
"826","826","both","826","Job involves shift work","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","lifestyle","FALSE","FALSE","NA"
"845","845","both","845","Age completed full time education","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","lifestyle","FALSE","FALSE","NA"
"864","864","both","864","Number of days/week walked 10+ minutes","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","lifestyle","FALSE","FALSE","NA"
"884","884","both","884","Number of days/week of moderate physical activity 10+ minutes","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","lifestyle","FALSE","FALSE","NA"
"894","894","both","894","Duration of moderate activity","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","lifestyle","FALSE","FALSE","NA"
"904","904","both","904","Number of days/week of vigorous physical activity 10+ minutes","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","lifestyle","FALSE","FALSE","NA"
"924","924","both","924","Usual walking pace","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","lifestyle","FALSE","FALSE","NA"
"943","943","both","943","Frequency of stair climbing in last 4 weeks","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","lifestyle","FALSE","FALSE","NA"
"971","971","both","971","Frequency of walking for pleasure in last 4 weeks","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","lifestyle","FALSE","FALSE","NA"
