exposure_description,sex_het_pval,IVW_beta_male,IVW_beta_female,IVW_pval_male,IVW_pval_female
Forced expiratory volume in 1-second (FEV1), Best measure,0.026807176564618,0.146525519029284,0.0726482427131388,0.0000000000149554610946126,0.00413176832881929
Body mass index (BMI),0.0387260030245773,0.194837734046668,0.251664047761942,0.0000000000000000000000703257146386741,0.00000000000000000000000000000000000000106144747287616
Weight,0.00589614485805163,0.153125528445971,0.220019835352086,0.000000000000000000337146343978679,0.000000000000000000000000000000000000319557859869519
Lifetime number of sexual partners,0.0174205867771055,0.281634591121866,0.51453967198112,0.00010583494570178,0.00000000000000484906140461227
Whole body fat mass,0.00589098525960069,0.188218164270123,0.265611129412701,0.0000000000000000000125423665734011,0.00000000000000000000000000000000000000000388361639355267
Whole body water mass,0.0480124406809691,0.142529238385622,0.182163766986142,0.000000000000000000000000321173862531978,0.00000000000000000000000000000000000973574356671302
Basal metabolic rate,0.00176289083954595,0.126261458423458,0.190222839488299,0.000000000000000000124908618456695,0.000000000000000000000000000000000000568440032885906
Leg fat mass (right),0.00216021410689646,0.200109158727212,0.288777043514742,0.000000000000000000000551803957018257,0.0000000000000000000000000000000000000000000000966178895364236
Arm fat-free mass (right),0.023036779005796,0.134443200969877,0.183732545200439,0.000000000000000000482314294650207,0.0000000000000000000000000000000450640557468111
Arm predicted mass (right),0.0384485228807686,0.132675063296656,0.177713766000183,0.00000000000000000168403952778589,0.00000000000000000000000000000686032879674459
Trunk fat mass,0.0430409324039846,0.189163867708015,0.245492118039975,0.00000000000000000000117897614842927,0.00000000000000000000000000000000000475860249845599
Trunk fat-free mass,0.00841648748108029,0.136871224725102,0.189152992422675,0.00000000000000000000000091799699766944,0.0000000000000000000000000000000000000728778158020286
Trunk predicted mass,0.00584917807646275,0.13420801324986,0.188973555149211,0.00000000000000000000000544566821568229,0.000000000000000000000000000000000000187502945806127
Job involves mainly walking or standing,0.00621890497737266,0.191918777902779,0.76789657505187,0.173379443696124,0.000000904298152030316
Job involves heavy manual or physical work,0.0475815949177048,0.241621970105612,0.592420816147401,0.0492917224344781,0.00000336637173046092
